customerid,gender,age,annual_income_k,spending_score_1_100,joindate,lastpurchasedate,country,email_clean,email_valid,purchasecount,churn_flag,annual_income_k_capped,joindate_clean,lastpurchasedate_clean
1080,,33,91.87,1,2018-04-22,2018-12-05,United States,user7752@hotmail.com,True,1,0,91.87,22-04-2018,05-12-2018
1106,Male,15,56.31,48,2020-05-22,2023-01-17,United States,user5777@company.co,True,0,0,56.31,22-05-2020,17-01-2023
1027,,38,19.66,58,2018-11-13,2020-08-01,United Arab Emirates,user6756@gmail.com,True,1,1,19.66,13-11-2018,01-08-2020
1066,Male,40,62.3,17,2019-10-22,2022-01-23,United States,user4068@hotmail.com,True,2,1,62.3,22-10-2019,23-01-2022
1048,Female,37,139.31,44,2021-04-01,2023-03-03,United States,user6224@company.co,True,6,1,133.435,01-04-2021,03-03-2023
1105,Female,43,60.55,58,2020-09-27,2022-12-05,India,user3614hotmail.com,False,1,0,60.55,27-09-2020,05-12-2022
1091,Male,35,73.45,53,2022-09-23,2024-06-12,United Kingdom,user1195@hotmail.com,True,3,1,73.45,23-09-2022,12-06-2024
1091,,35,48.0,64,2020-11-18,2022-08-01,United Kingdom,user2168@company.co,True,2,0,48.0,18-11-2020,01-08-2022
1102,Female,54,25.61,57,2021-08-19,2023-03-02,India,user2317gmail.com,False,1,1,25.61,19-08-2021,02-03-2023
1057,Male,30,34.99,32,2022-08-25,2022-08-25,United Kingdom,user3696@yahoo.com,True,3,1,34.99,25-08-2022,25-08-2022
1060,Female,22,65.09,52,2021-08-01,2022-09-30,United States,user2189@example.com,True,1,0,65.09,01-08-2021,30-09-2022
1078,Male,39,116.29,73,2020-03-13,2022-08-04,India,user6172@hotmail.com,True,1,0,116.29,13-03-2020,04-08-2022
1079,Male,35,62.99,37,2018-10-30,2018-12-20,United Arab Emirates,user6966@yahoo.com,True,1,0,62.99,30-10-2018,20-12-2018
1073,Male,15,49.93,91,2022-04-05,2022-04-05,United States,user7799@gmail.com,True,1,1,49.93,05-04-2022,05-04-2022
1083,Male,49,74.0,24,2022-04-21,2025-01-05,India,user139@yahoo.com,True,0,1,74.0,21-04-2022,05-01-2025
1110,Female,20,63.01,66,2021-04-18,2023-11-21,India,user2429@company.co,True,1,0,63.01,18-04-2021,21-11-2023
1095,Female,30,63.01,57,2022-12-14,2025-03-08,United States,user2427@example.com,True,0,0,63.01,14-12-2022,08-03-2025
1068,,31,59.0,32,2019-09-03,2021-02-26,United States,user127@example.com,True,0,1,59.0,03-09-2019,26-02-2021
1085,Male,48,63.01,73,2018-09-17,2019-09-22,United Arab Emirates,,False,3,0,63.01,17-09-2018,22-09-2019
1036,Male,13,42.73,53,2019-09-18,2021-08-14,India,user18@yahoo.com,True,2,1,42.73,18-09-2019,14-08-2021
1046,,37,71.23,47,2018-10-15,2019-09-26,United Kingdom,user1979@example.com,True,2,1,71.23,15-10-2018,26-09-2019
1059,Female,45,63.01,27,2021-06-13,2021-06-13,India,user551@example.com,True,3,1,63.01,13-06-2021,13-06-2021
1110,Male,33,89.29,13,2020-10-07,2022-11-14,United States,user8215@yahoo.com,True,1,0,89.29,07-10-2020,14-11-2022
1031,Male,32,89.15,66,2018-06-25,2018-06-25,India,user8915@company.co,True,2,0,89.15,25-06-2018,25-06-2018
1080,Female,19,61.37,33,2021-12-01,2022-07-19,United Arab Emirates,user3921@yahoo.com,True,4,0,61.37,01-12-2021,19-07-2022
1048,Female,25,44.95,72,2018-01-17,2018-10-22,United Arab Emirates,user2201@hotmail.com,True,2,0,44.95,17-01-2018,22-10-2018
1022,Unknown,45,30.36,50,2021-02-28,2022-07-22,India,user4337@yahoo.com,True,1,1,30.36,28-02-2021,22-07-2022
1095,Male,48,63.01,73,2021-09-20,2021-09-20,United Kingdom,user4396@gmail.com,True,2,1,63.01,20-09-2021,20-09-2021
1068,Female,16,49.12,64,2022-07-30,2023-03-29,United States,user6364@hotmail.com,True,0,0,49.12,30-07-2022,29-03-2023
1038,Male,29,63.01,55,2020-09-07,2020-09-07,India,user7828@gmail.com,True,3,0,63.01,07-09-2020,07-09-2020
1030,Male,35,64.75,50,2019-07-14,2021-11-09,United States,user6151@example.com,True,1,1,64.75,14-07-2019,09-11-2021
1023,Male,26,63.01,50,2018-04-14,2018-12-17,United States,user7606@company.co,True,3,0,63.01,14-04-2018,17-12-2018
1048,Female,22,44.09,30,2018-08-21,2020-05-08,United Kingdom,user1930@hotmail.com,True,1,0,44.09,21-08-2018,08-05-2020
1039,Female,26,113.93,66,2020-09-30,2022-10-21,India,user6610@gmail.com,True,2,0,113.93,30-09-2020,21-10-2022
1098,Female,32,58.57,23,2018-04-14,2018-09-24,United Kingdom,user2617@hotmail.com,True,1,1,58.57,14-04-2018,24-09-2018
1036,Female,28,48.8,20,2021-02-01,2023-03-05,United States,user6869@yahoo.com,True,2,1,48.8,01-02-2021,05-03-2023
1081,Male,29,100.03,50,2019-02-13,2020-02-13,United States,user8898@example.com,True,3,0,100.03,13-02-2019,13-02-2020
1006,Female,35,62.47,76,,2023-08-04,United States,user4980@company.co,True,5,1,62.47,,04-08-2023
1098,Female,63,90.44,38,2020-10-29,2021-11-10,United States,user1947@yahoo.com,True,0,0,90.44,29-10-2020,10-11-2021
1074,Male,51,33.49,64,,2024-03-20,India,user12@example.com,True,4,1,33.49,,20-03-2024
1077,Female,52,70.28,61,2022-03-14,2024-05-20,United States,,False,4,0,70.28,14-03-2022,20-05-2024
1014,Male,38,69.07,87,2018-10-29,2019-11-28,United States,user5728@gmail.com,True,3,0,69.07,29-10-2018,28-11-2019
1069,Female,40,66.23,56,2022-03-02,2023-08-12,India,user1901@example.com,True,1,0,66.23,02-03-2022,12-08-2023
1083,Female,32,51.82,1,2022-11-13,2023-10-01,India,user4594@company.co,True,3,0,51.82,13-11-2022,01-10-2023
1032,Male,47,6.64,87,2020-12-28,2023-05-06,United States,user8148@example.com,True,2,0,6.64,28-12-2020,06-05-2023
1044,Female,35,66.96,78,2021-07-20,2023-09-23,United Kingdom,user6879@example.com,True,4,0,66.96,20-07-2021,23-09-2023
1010,Male,34,120.1,74,2020-07-12,2020-07-12,India,user1939company.co,False,1,0,120.1,12-07-2020,12-07-2020
1011,Male,29,63.01,86,2020-06-26,2022-05-21,United Kingdom,user3532@company.co,True,2,0,63.01,26-06-2020,21-05-2022
1023,Female,35,1.25,43,2022-05-28,2022-05-28,United States,user6610@example.com,True,0,0,1.25,28-05-2022,28-05-2022
1072,,34,69.0,50,2018-06-09,2020-06-09,United Kingdom,user6844@hotmail.com,True,4,0,69.0,09-06-2018,09-06-2020
1057,Female,30,15.08,67,2022-10-04,2025-04-25,United Kingdom,user5326@example.com,True,1,0,15.08,04-10-2022,25-04-2025
1049,,29,42.0,71,2021-02-23,2021-02-23,United States,user7607@hotmail.com,True,0,1,42.0,23-02-2021,23-02-2021
1065,Male,38,36.04,95,2021-06-30,2023-01-11,India,user324@gmail.com,True,5,0,36.04,30-06-2021,11-01-2023
1012,Female,26,133.02,5,2019-04-28,2019-04-28,United States,user188@hotmail.com,True,3,0,133.02,28-04-2019,28-04-2019
1029,Female,32,63.01,57,2021-10-22,2022-01-15,United Kingdom,user8752@gmail.com,True,3,1,63.01,22-10-2021,15-01-2022
1031,Male,39,98.61,38,2021-02-15,2021-02-15,United States,user5412@gmail.com,True,1,0,98.61,15-02-2021,15-02-2021
1013,,30,123.99,1,2019-08-28,2020-05-17,India,user8838@hotmail.com,True,4,1,123.99,28-08-2019,17-05-2020
1068,Unknown,35,49.95,62,2018-11-07,2019-11-01,United Kingdom,user1421@gmail.com,True,2,0,49.95,07-11-2018,01-11-2019
1018,Male,27,51.25,34,2018-11-10,2018-11-10,United Arab Emirates,,False,0,0,51.25,10-11-2018,10-11-2018
1034,Female,14,108.62,89,2022-02-19,2024-05-23,United Arab Emirates,user7016@yahoo.com,True,1,0,108.62,19-02-2022,23-05-2024
1060,Female,27,66.55,72,2021-04-09,2023-09-29,United States,user7711@hotmail.com,True,3,0,66.55,09-04-2021,29-09-2023
1074,Female,37,44.79,38,2022-04-11,2022-10-12,United Arab Emirates,user431@company.co,True,0,1,44.79,11-04-2022,12-10-2022
1043,Male,52,66.41,56,2019-02-09,2019-02-09,United States,user8044@yahoo.com,True,3,0,66.41,09-02-2019,09-02-2019
1088,Male,32,86.51,50,,2020-05-09,United Arab Emirates,user3670@hotmail.com,True,3,0,86.51,,09-05-2020
1050,Female,38,8.69,16,2018-12-21,2020-04-30,United States,user5155@example.com,True,1,0,8.69,21-12-2018,30-04-2020
1009,,35,63.01,19,2022-09-15,2023-09-27,United States,user1875@company.co,True,2,0,63.01,15-09-2022,27-09-2023
1032,Male,21,24.0,70,2022-09-09,2022-08-11,United Arab Emirates,user2725@example.com,True,2,1,24.0,09-09-2022,11-08-2022
1044,Female,52,31.0,74,2018-06-25,2018-09-28,United Kingdom,user3938@example.com,True,0,0,31.0,25-06-2018,28-09-2018
1070,Female,51,136.17,41,2022-10-21,2024-11-24,India,user4893@example.com,True,4,0,133.435,21-10-2022,24-11-2024
1037,Female,36,34.32,49,2018-06-14,2020-01-24,United States,user4103@gmail.com,True,2,1,34.32,14-06-2018,24-01-2020
1042,Female,36,71.83,39,2018-04-24,2019-06-03,United States,user946@company.co,True,2,1,71.83,24-04-2018,03-06-2019
1101,Male,21,112.57,73,2021-01-22,2023-09-14,United Kingdom,,False,0,0,112.57,22-01-2021,14-09-2023
1098,Male,62,63.01,38,2021-07-26,2022-12-11,India,user6165@hotmail.com,True,2,1,63.01,26-07-2021,11-12-2022
1056,Male,35,29.27,43,2020-02-23,2020-03-03,United Kingdom,user2345@yahoo.com,True,3,1,29.27,23-02-2020,03-03-2020
1011,Male,42,50.71,58,2019-12-15,2019-12-15,United Arab Emirates,user5226@gmail.com,True,3,0,50.71,15-12-2019,15-12-2019
1091,Female,38,88.62,66,2021-09-16,2022-07-27,United Kingdom,user2442@hotmail.com,True,2,0,88.62,16-09-2021,27-07-2022
1083,,28,20.39,95,2020-09-22,2022-03-15,India,user4847@gmail.com,True,2,0,20.39,22-09-2020,15-03-2022
1035,Female,27,77.12,30,2020-12-23,2020-12-23,India,user5412@example.com,True,1,1,77.12,23-12-2020,23-12-2020
1045,Female,33,84.2,59,2022-10-24,2023-02-03,United Arab Emirates,user2222@example.com,True,0,0,84.2,24-10-2022,03-02-2023
1040,Female,21,12.17,35,2022-05-13,2024-10-24,United States,user3272@company.co,True,0,1,12.17,13-05-2022,24-10-2024
1050,Unknown,28,58.87,77,2022-06-28,2024-07-06,United Kingdom,user2195@hotmail.com,True,3,1,58.87,28-06-2022,06-07-2024
1109,Male,16,62.06,23,2022-12-31,2024-04-04,United Arab Emirates,user6992@company.co,True,3,0,62.06,31-12-2022,04-04-2024
1039,Male,48,68.7,43,2022-07-29,2023-05-23,United States,user3291@example.com,True,2,0,68.7,29-07-2022,23-05-2023
1002,Male,35,27.57,76,2018-12-08,2019-03-09,United Arab Emirates,user1935@gmail.com,True,6,0,27.57,08-12-2018,09-03-2019
1058,Male,47,29.2,53,2021-09-28,2023-03-17,United States,user6783@company.co,True,2,1,29.2,28-09-2021,17-03-2023
1026,,64,41.31,50,2020-08-02,2021-09-03,United Kingdom,user6472example.com,False,2,1,41.31,02-08-2020,03-09-2021
1082,Male,35,74.9,46,2021-01-21,2022-06-22,India,,False,2,1,74.9,21-01-2021,22-06-2022
1104,Male,28,18.38,73,2021-06-20,2023-08-20,United Arab Emirates,,False,2,0,18.38,20-06-2021,20-08-2023
1044,Unknown,34,51.53,57,2018-12-06,2019-02-08,United States,user3892@example.com,True,4,0,51.53,06-12-2018,08-02-2019
1016,,47,41.14,38,2020-08-25,2021-10-23,India,user8328@yahoo.com,True,0,1,41.14,25-08-2020,23-10-2021
1030,Male,35,52.85,40,2020-02-18,2020-09-06,United States,,False,1,1,52.85,18-02-2020,06-09-2020
1042,Unknown,35,16.97,64,2021-09-22,2022-07-09,United Arab Emirates,user3569@example.com,True,1,1,16.97,22-09-2021,09-07-2022
1096,Female,37,30.65,60,2022-08-12,2025-01-23,United Kingdom,user6966@gmail.com,True,2,0,30.65,12-08-2022,23-01-2025
1059,Female,45,66.73,76,2018-09-29,2019-01-10,India,user7909@company.co,True,3,1,66.73,29-09-2018,10-01-2019
1092,Male,20,75.44,80,2018-12-10,2019-01-08,India,user6045@example.com,True,0,1,75.44,10-12-2018,08-01-2019
1043,Female,34,83.89,42,2019-01-18,2019-01-18,United States,user8508@hotmail.com,True,3,0,83.89,18-01-2019,18-01-2019
1010,Female,18,75.03,23,2018-07-30,2019-11-25,India,user8337gmail.com,False,1,1,75.03,30-07-2018,25-11-2019
1097,Male,53,33.0,15,2019-11-14,2021-08-06,India,user8447@yahoo.com,True,2,0,33.0,14-11-2019,06-08-2021
1052,Male,22,74.47,44,2021-02-01,2021-02-01,United Kingdom,user4119@yahoo.com,True,0,1,74.47,01-02-2021,01-02-2021
1026,Female,49,5.1,6,2018-09-05,2019-10-31,United Kingdom,user5341@yahoo.com,True,2,0,5.1,05-09-2018,31-10-2019
1014,Female,31,63.01,97,2022-11-11,2022-11-11,United Arab Emirates,user997@example.com,True,1,0,63.01,11-11-2022,11-11-2022
1006,Male,35,133.9,45,2019-02-08,2020-04-01,United Arab Emirates,user5144@gmail.com,True,1,1,133.435,08-02-2019,01-04-2020
1007,Female,46,63.01,84,2022-06-07,2023-01-16,United Kingdom,user3423@hotmail.com,True,2,0,63.01,07-06-2022,16-01-2023
1002,Female,18,14.2,48,2022-04-21,2023-09-26,United States,user8792@company.co,True,2,1,14.2,21-04-2022,26-09-2023
1040,Female,43,89.53,44,2018-03-24,2020-10-07,United States,user4067@hotmail.com,True,3,1,89.53,24-03-2018,07-10-2020
1101,Male,25,18.9,30,2022-08-12,2023-05-15,United States,user7533@yahoo.com,True,2,1,18.9,12-08-2022,15-05-2023
1013,,45,34.82,42,2018-07-21,2019-01-24,United States,user1791@yahoo.com,True,3,0,34.82,21-07-2018,24-01-2019
1035,Male,14,75.15,71,2021-01-08,2021-09-09,United Kingdom,user6181@example.com,True,1,1,75.15,08-01-2021,09-09-2021
1108,,40,36.5,41,2019-04-26,2020-06-23,United Kingdom,user2472@yahoo.com,True,4,0,36.5,26-04-2019,23-06-2020
1088,Female,32,43.0,52,2019-07-03,2020-10-14,United Kingdom,user5156@yahoo.com,True,1,1,43.0,03-07-2019,14-10-2020
1053,Male,65,75.0,35,2020-02-04,2020-02-21,United Arab Emirates,user7917example.com,False,2,1,75.0,04-02-2020,21-02-2020
1078,Male,23,83.61,78,2021-03-25,2023-06-27,United Arab Emirates,user3979@gmail.com,True,4,0,83.61,25-03-2021,27-06-2023
1104,Male,38,63.01,66,2021-08-03,2021-08-03,United States,user8065@company.co,True,0,0,63.01,03-08-2021,03-08-2021
1010,Male,47,96.15,20,2020-02-20,2022-06-08,United Kingdom,user7049@gmail.com,True,3,0,96.15,20-02-2020,08-06-2022
1014,Male,22,84.42,26,2020-02-06,2020-02-06,United Arab Emirates,user8200@yahoo.com,True,4,1,84.42,06-02-2020,06-02-2020
1103,Male,25,80.23,47,2019-10-11,2019-10-11,India,user7287@hotmail.com,True,1,1,80.23,11-10-2019,11-10-2019
1021,Female,13,67.79,27,2019-08-08,2019-08-08,India,user3805@company.co,True,2,1,67.79,08-08-2019,08-08-2019
1088,Female,26,71.01,50,2021-03-15,2021-02-09,United Arab Emirates,user2416@gmail.com,True,0,0,71.01,15-03-2021,09-02-2021
1107,Male,25,49.7,61,2020-03-21,2022-10-04,United States,user2755@gmail.com,True,1,0,49.7,21-03-2020,04-10-2022
1100,Male,46,93.66,82,2021-03-17,2021-03-17,India,user2357@company.co,True,2,0,93.66,17-03-2021,17-03-2021
1072,Male,56,72.39,35,2022-03-17,2023-01-30,United Arab Emirates,,False,1,0,72.39,17-03-2022,30-01-2023
1053,Male,53,63.01,63,2019-06-01,2019-10-12,United Arab Emirates,user8432@gmail.com,True,0,0,63.01,01-06-2019,12-10-2019
1064,Female,34,78.62,54,2019-11-10,2019-10-28,United Kingdom,user8952@yahoo.com,True,6,0,78.62,10-11-2019,28-10-2019
1080,Male,45,41.88,57,2018-11-18,2018-11-18,India,user6694@example.com,True,4,1,41.88,18-11-2018,18-11-2018
1069,Female,35,56.0,24,2018-08-08,2019-08-25,United States,user8626@hotmail.com,True,3,0,56.0,08-08-2018,25-08-2019
1090,Female,38,94.28,68,2021-03-11,2022-06-06,India,user3444@example.com,True,2,0,94.28,11-03-2021,06-06-2022
1081,Unknown,30,65.27,60,2018-08-25,2019-09-19,United Kingdom,user4342@gmail.com,True,0,1,65.27,25-08-2018,19-09-2019
1064,Male,57,84.61,62,2022-08-10,2022-08-10,United States,user1111@hotmail.com,True,4,1,84.61,10-08-2022,10-08-2022
1107,Male,41,67.27,100,2018-08-04,2020-01-15,United Arab Emirates,user1030@gmail.com,True,4,0,67.27,04-08-2018,15-01-2020
1088,Male,20,61.75,21,2020-02-05,2021-07-15,United Kingdom,user8562@example.com,True,4,0,61.75,05-02-2020,15-07-2021
1107,Unknown,28,61.14,53,2019-09-06,2020-06-11,United States,user821@gmail.com,True,2,1,61.14,06-09-2019,11-06-2020
1083,Female,46,105.71,1,2020-06-19,2021-06-07,United States,user2354@hotmail.com,True,1,1,105.71,19-06-2020,07-06-2021
1098,,28,45.84,77,2019-07-24,2019-08-11,United States,user8057@gmail.com,True,0,0,45.84,24-07-2019,11-08-2019
1019,Male,35,75.53,31,2021-07-09,2022-07-21,India,user1526@example.com,True,0,0,75.53,09-07-2021,21-07-2022
1034,Female,11,23.78,23,2019-02-20,2020-02-21,United Kingdom,user1732@yahoo.com,True,2,0,23.78,20-02-2019,21-02-2020
1110,Male,24,17.63,86,2021-10-04,2024-08-05,United Arab Emirates,user2804@company.co,True,1,0,17.63,04-10-2021,05-08-2024
1107,,35,41.99,51,2022-09-02,2024-09-09,United States,user5773@yahoo.com,True,3,0,41.99,02-09-2022,09-09-2024
1103,Female,50,38.87,31,2019-09-13,2021-03-13,India,user6177@gmail.com,True,1,1,38.87,13-09-2019,13-03-2021
1006,,48,28.8,65,2018-02-20,2019-01-14,United States,user8336@example.com,True,1,0,28.8,20-02-2018,14-01-2019
1089,Male,35,79.51,47,2022-06-14,2024-10-06,United Kingdom,user1610@yahoo.com,True,2,1,79.51,14-06-2022,06-10-2024
1053,,60,90.97,12,2018-06-14,2018-06-14,United Kingdom,user5189@example.com,True,2,0,90.97,14-06-2018,14-06-2018
1052,Female,36,74.77,57,2018-07-05,2018-07-05,United States,user1377@company.co,True,1,0,74.77,05-07-2018,05-07-2018
1029,Male,38,18.94,50,2022-08-27,2022-08-27,India,user7686@example.com,True,3,0,18.94,27-08-2022,27-08-2022
1100,Female,38,84.82,50,2019-07-26,2020-02-28,United Kingdom,user6210hotmail.com,False,2,1,84.82,26-07-2019,28-02-2020
1093,Male,68,95.81,55,2021-01-08,2023-04-06,India,user2647@company.co,True,1,0,95.81,08-01-2021,06-04-2023
1029,,29,91.32,67,2021-08-12,2022-07-22,United Arab Emirates,user531@yahoo.com,True,3,0,91.32,12-08-2021,22-07-2022
1097,Female,40,107.4,47,2020-12-12,2022-06-14,United States,user1839@gmail.com,True,2,1,107.4,12-12-2020,14-06-2022
1051,Male,33,53.37,65,2021-08-08,2022-10-25,United Arab Emirates,user2103@company.co,True,1,1,53.37,08-08-2021,25-10-2022
1006,,51,8.07,86,2021-09-07,2024-01-05,United Arab Emirates,user2186@gmail.com,True,3,0,8.07,07-09-2021,05-01-2024
1007,Female,43,61.56,50,2019-05-30,2021-11-07,United Arab Emirates,user7260@yahoo.com,True,0,1,61.56,30-05-2019,07-11-2021
1013,Male,22,41.29,97,2019-03-13,2020-02-15,United States,user7131@gmail.com,True,2,0,41.29,13-03-2019,15-02-2020
1026,Male,33,28.94,36,2022-09-28,2025-03-28,United Arab Emirates,,False,2,1,28.94,28-09-2022,28-03-2025
1003,Male,45,29.73,10,2018-06-11,2019-09-03,India,user8728@yahoo.com,True,2,0,29.73,11-06-2018,03-09-2019
1001,Female,51,89.19,69,2021-02-12,2021-04-04,United States,user959@company.co,True,3,0,89.19,12-02-2021,04-04-2021
1101,Female,41,53.93,44,2019-03-19,2019-11-30,India,user47@hotmail.com,True,2,0,53.93,19-03-2019,30-11-2019
1006,,29,70.4,48,,2021-07-02,United Arab Emirates,,False,1,0,70.4,,02-07-2021
1027,Male,38,101.16,54,2018-04-15,2018-08-26,United States,,False,2,1,101.16,15-04-2018,26-08-2018
1049,Male,28,78.99,55,2019-01-04,2019-10-18,United States,,False,2,0,78.99,04-01-2019,18-10-2019
1081,Female,35,96.01,95,2020-11-05,2021-08-25,United Kingdom,,False,1,0,96.01,05-11-2020,25-08-2021
1053,Unknown,42,18.24,29,2021-07-02,2022-07-07,United Kingdom,user5658@yahoo.com,True,1,0,18.24,02-07-2021,07-07-2022
1070,Male,36,56.09,62,2022-04-24,2024-06-02,United States,user726@company.co,True,1,1,56.09,24-04-2022,02-06-2024
1094,Female,26,63.01,50,2022-11-02,2022-11-02,United States,user1683@example.com,True,0,1,63.01,02-11-2022,02-11-2022
1006,Male,38,65.93,61,2019-07-31,2020-12-03,United Arab Emirates,,False,2,1,65.93,31-07-2019,03-12-2020
1056,Female,26,59.74,1,2019-10-03,2021-11-03,India,user7771@gmail.com,True,2,1,59.74,03-10-2019,03-11-2021
1060,Female,30,90.19,35,2022-02-17,2023-04-30,United Kingdom,user3165@yahoo.com,True,2,0,90.19,17-02-2022,30-04-2023
1088,Female,29,52.88,96,2020-06-27,2021-04-23,India,,False,0,0,52.88,27-06-2020,23-04-2021
1090,Male,39,63.01,73,2018-07-26,2020-10-06,United Kingdom,user6863@gmail.com,True,3,0,63.01,26-07-2018,06-10-2020
1041,Female,40,84.53,12,2018-07-10,2018-12-17,United Kingdom,user508@example.com,True,3,0,84.53,10-07-2018,17-12-2018
1026,Unknown,30,66.14,24,2018-03-22,2018-03-22,United States,user7876@hotmail.com,True,4,0,66.14,22-03-2018,22-03-2018
1020,Male,50,72.38,1,2019-10-22,2020-04-22,United Arab Emirates,user1277@company.co,True,4,1,72.38,22-10-2019,22-04-2020
1042,Male,41,85.41,80,2022-12-03,2022-10-02,United States,user8565gmail.com,False,5,1,85.41,03-12-2022,02-10-2022
1078,Male,35,120.31,6,2019-11-29,2021-11-19,United States,,False,2,0,120.31,29-11-2019,19-11-2021
1028,Female,41,82.42,65,2021-08-13,2024-05-03,United States,user2002@example.com,True,3,1,82.42,13-08-2021,03-05-2024
1030,Female,35,45.75,33,2021-09-21,2023-01-01,India,user5440@gmail.com,True,3,1,45.75,21-09-2021,01-01-2023
1087,Female,10,2.44,49,2018-03-20,2019-10-31,United States,user5140@example.com,True,1,1,2.44,20-03-2018,31-10-2019
1039,Female,46,103.58,59,2021-11-27,2022-09-09,United Arab Emirates,user6798@gmail.com,True,2,0,103.58,27-11-2021,09-09-2022
1029,Female,39,69.71,42,2022-10-21,2025-02-12,India,user292@gmail.com,True,1,0,69.71,21-10-2022,12-02-2025
1092,Female,52,50.99,29,2022-03-12,2022-07-23,United Kingdom,user6462@gmail.com,True,1,1,50.99,12-03-2022,23-07-2022
1049,Female,34,39.71,95,2018-01-16,2018-10-26,United States,user4632@hotmail.com,True,1,1,39.71,16-01-2018,26-10-2018
1058,Female,36,63.01,22,2018-10-07,2020-02-02,United States,user203@hotmail.com,True,0,0,63.01,07-10-2018,02-02-2020
1098,Male,43,56.28,68,2019-08-03,2022-04-26,United States,user2940hotmail.com,False,4,1,56.28,03-08-2019,26-04-2022
1072,Male,38,90.32,35,2022-04-04,2023-03-22,United States,user3528@hotmail.com,True,1,1,90.32,04-04-2022,22-03-2023
1087,Female,20,103.24,14,2019-05-28,2021-05-13,United States,user7917@gmail.com,True,3,1,103.24,28-05-2019,13-05-2021
1002,Male,30,67.28,54,2018-07-02,2020-05-25,United States,user2247@example.com,True,3,0,67.28,02-07-2018,25-05-2020
1067,Male,31,105.12,1,2019-07-20,2020-10-30,United Arab Emirates,user4124@yahoo.com,True,2,1,105.12,20-07-2019,30-10-2020
1102,Male,41,38.19,43,2021-11-15,2023-09-07,United Arab Emirates,user3367@company.co,True,1,0,38.19,15-11-2021,07-09-2023
1102,Male,38,75.85,55,2022-03-05,2022-08-12,United States,user1295@hotmail.com,True,2,1,75.85,05-03-2022,12-08-2022
1044,Female,35,63.82,40,2021-10-11,2023-12-14,United Kingdom,user437@company.co,True,1,0,63.82,11-10-2021,14-12-2023
1036,Male,21,35.49,87,2018-04-07,2018-12-10,United Arab Emirates,user8593@hotmail.com,True,3,0,35.49,07-04-2018,10-12-2018
1086,,39,63.01,37,2021-10-20,2023-09-15,India,user6002@hotmail.com,True,3,0,63.01,20-10-2021,15-09-2023
1045,,52,101.4,34,2021-10-08,2022-05-21,United Kingdom,user2710@gmail.com,True,2,1,101.4,08-10-2021,21-05-2022
1065,,44,90.98,4,2020-02-03,2020-11-19,United Arab Emirates,user858@hotmail.com,True,0,0,90.98,03-02-2020,19-11-2020
1054,Female,40,33.87,60,2019-03-24,2020-11-12,United Kingdom,user145@gmail.com,True,0,0,33.87,24-03-2019,12-11-2020
1037,,31,43.47,50,2022-07-26,2024-07-07,United Arab Emirates,user3676@company.co,True,0,0,43.47,26-07-2022,07-07-2024
